,A1,A2,A3,A4,A5,A6,A7,A8,A9,Class
315,37,0,76,-1,36,0,39,39,0,0
316,46,0,77,6,46,0,31,31,0,0
317,46,4,93,0,46,0,47,47,0,0
318,37,-4,77,0,36,-24,39,41,2,0
319,37,0,80,0,8,21,43,72,30,0
320,44,0,81,0,44,5,37,37,0,0
321,47,0,83,0,46,0,35,36,0,0
322,37,0,75,0,26,30,38,49,12,0
323,38,0,90,0,8,3,52,82,30,0
324,41,0,106,0,42,1,65,65,0,0
325,49,-1,84,0,50,4,36,35,0,0
326,37,1,82,-3,34,0,45,48,4,0
327,55,0,83,0,56,31,27,26,0,0
328,37,0,79,-3,20,-6,43,59,16,0
329,44,0,76,-2,44,7,32,32,0,0
330,37,-1,80,5,24,0,43,57,14,0
331,50,3,84,0,50,0,35,35,0,0
332,50,3,87,0,50,0,37,38,2,0
333,45,5,81,3,44,0,37,37,0,0
334,37,-2,107,0,36,-23,69,71,2,0
335,37,0,79,-6,2,0,43,77,34,0
336,49,1,77,0,50,18,28,28,0,0
337,36,0,80,-1,36,0,44,44,0,0
338,56,0,81,0,56,6,25,24,0,0
339,38,0,76,0,38,2,38,37,0,0
340,48,-1,86,0,46,0,38,39,2,0
341,51,4,86,0,52,16,35,34,0,0
342,38,1,96,0,38,6,58,57,0,0
343,41,0,87,8,42,30,46,46,0,0
344,37,0,79,0,36,-7,41,43,2,0
345,42,-1,86,-4,42,-6,44,45,2,0
346,52,4,88,0,52,-4,35,36,0,0
347,49,0,81,0,46,-9,33,35,2,0
348,46,1,77,0,44,-13,31,33,2,0
349,44,1,81,0,44,4,37,37,0,0
350,37,0,93,0,12,3,56,81,24,0
351,51,3,78,0,52,13,27,26,0,0
352,45,0,79,-1,44,-13,33,35,2,0
353,53,0,81,0,54,1,27,26,0,0
354,37,0,79,0,10,-23,42,68,26,0
355,55,-1,89,-4,54,0,34,35,0,0
356,44,0,80,4,44,3,36,36,0,0
357,38,5,79,0,36,0,41,43,2,0
358,44,1,78,0,42,-30,34,37,2,0
359,40,0,85,-1,38,0,45,46,2,0
360,45,-1,83,0,46,3,37,36,0,0
361,51,0,88,0,52,22,37,36,0,0
362,41,1,76,-1,38,0,35,37,2,0
363,37,0,78,0,16,4,42,63,22,0
364,44,0,77,2,42,-17,34,36,2,0
365,37,0,82,0,34,23,45,48,2,0
366,37,0,80,0,10,23,43,70,26,0
367,51,-4,83,0,50,-6,32,34,2,0
368,44,-1,81,1,44,6,37,37,0,0
369,45,-2,87,0,44,-3,42,43,2,0
370,41,-2,83,0,42,6,42,41,0,0
371,54,-2,86,0,54,0,33,32,0,0
372,37,0,77,0,36,5,39,41,2,0
373,51,0,81,0,52,27,30,29,0,0
374,37,-3,77,0,-2,0,40,79,40,0
375,37,0,76,0,34,-10,40,43,2,0
376,38,-3,78,0,38,0,40,39,0,0
377,37,0,78,0,24,-15,41,55,14,0
378,46,-1,77,0,46,11,32,31,0,0
379,38,0,102,0,36,-23,64,66,2,0
380,41,0,81,-3,42,0,40,40,0,0
381,37,0,79,0,18,-13,43,61,18,0
382,43,-1,81,3,42,-16,37,39,2,0
383,51,0,107,-2,50,0,56,58,2,0
384,37,0,84,0,30,19,47,53,6,0
385,49,0,77,-5,46,-30,28,31,2,0
386,50,0,78,-3,50,0,28,29,2,0
387,48,2,81,-1,46,0,33,34,2,0
388,37,0,79,0,8,27,43,72,28,0
389,43,0,87,0,44,21,44,43,0,0
390,46,0,76,0,44,-12,30,32,2,0
391,42,-15,76,0,42,0,34,35,2,0
392,37,0,76,0,20,26,40,55,16,0
393,51,0,86,0,52,14,35,35,0,0
394,37,0,79,0,6,5,42,74,32,0
395,42,2,77,3,42,0,35,36,2,0
396,37,0,78,0,10,7,41,68,26,0
397,46,2,81,1,46,14,35,35,0,0
398,50,0,79,7,50,0,28,30,2,0
399,37,-2,106,0,36,0,70,70,0,0
400,51,0,109,0,52,19,58,58,0,0
401,44,-1,82,0,44,11,38,38,0,0
402,63,0,112,5,62,0,49,50,0,0
403,41,0,79,-3,42,18,38,37,0,0
404,37,4,79,0,18,-6,41,61,20,0
405,43,0,87,8,42,-5,44,46,2,0
406,47,0,77,-4,46,0,29,30,0,0
407,37,5,75,0,34,5,37,41,4,0
408,55,0,84,5,54,0,29,30,0,0
409,43,0,79,0,44,26,35,35,0,0
410,45,1,88,0,44,201,42,44,2,0
411,53,0,91,0,54,15,38,37,0,0
412,41,0,86,-1,42,9,45,44,0,0
413,37,0,104,0,24,9,67,80,14,0
414,37,0,77,0,6,22,40,72,32,0
415,40,0,84,8,38,0,44,45,2,0
416,45,-3,86,0,44,0,42,42,0,0
417,37,0,97,-1,34,4,60,64,4,0
418,37,0,79,0,36,3,41,43,2,0
419,52,2,83,0,52,0,31,32,0,0
420,37,-26,106,0,30,0,69,75,6,0
421,43,0,81,-3,42,-15,37,39,2,0
422,41,-2,76,0,42,23,35,35,0,0
423,45,0,83,6,46,17,37,36,0,0
424,47,0,81,3,46,0,34,34,0,0
425,37,0,76,5,24,0,40,53,14,0
426,47,5,106,0,46,0,60,60,0,0
427,48,-1,88,0,46,-4,40,42,2,0
428,54,0,82,1,54,0,28,28,0,0
429,41,4,78,0,42,12,37,37,0,0
430,38,2,76,0,38,2,38,37,0,0
431,48,0,88,-3,46,-7,40,42,2,0
432,44,-1,80,0,44,0,36,36,0,0
433,50,5,77,0,50,0,27,28,0,0
434,38,-4,76,-2,38,0,37,37,0,0
435,46,0,76,0,46,0,29,29,0,0
436,47,-1,86,0,46,0,40,40,0,0
437,37,0,95,-5,28,0,58,67,8,0
438,37,0,80,0,10,28,43,70,26,0
439,49,1,77,0,46,-2,29,31,2,0
440,41,0,79,2,38,-4,39,41,2,0
441,37,0,78,0,10,-10,41,68,26,0
442,51,-5,81,0,52,0,29,29,0,0
443,41,0,81,-5,42,0,40,40,0,0
444,49,0,88,0,50,7,40,39,0,0
445,37,0,76,-2,34,0,40,43,2,0
446,43,0,86,-5,42,0,44,45,2,0
447,41,0,89,0,42,11,48,48,0,0
448,39,-9,78,0,-2,-28,39,81,42,0
449,55,0,83,6,54,0,28,29,0,0
450,39,2,86,0,38,0,47,48,0,0
451,53,0,86,0,52,-9,33,34,2,0
452,45,0,82,-3,44,0,37,38,0,0
453,37,0,77,7,24,0,40,54,14,0
454,37,0,106,1,20,-5,69,85,16,0
455,52,0,78,-2,52,-2,26,26,0,0
456,60,4,87,0,60,0,27,28,0,0
457,47,0,84,-1,46,0,38,38,0,0
458,43,0,77,0,44,25,34,34,0,0
459,41,0,85,0,38,-11,44,46,2,0
460,43,-5,86,0,42,-12,43,45,2,0
461,37,0,79,0,8,11,42,71,30,0
462,37,0,100,0,36,-10,63,64,2,0
463,45,0,85,1,46,23,40,39,0,0
464,46,5,79,0,46,20,33,32,0,0
465,44,0,86,0,44,27,42,42,0,0
466,44,0,81,7,42,-12,38,40,2,0
467,37,0,78,3,26,-2,42,52,10,0
468,48,0,76,0,46,0,28,30,2,0
469,37,0,77,5,36,2,40,41,0,0
470,43,-5,76,0,42,0,33,35,2,0
471,54,-5,81,5,54,0,27,27,0,0
472,42,0,81,0,42,7,39,40,0,0
473,44,0,87,-6,44,0,43,43,0,0
474,37,0,105,0,34,1,68,71,4,0
475,39,3,83,0,38,0,44,44,0,0
476,49,-4,101,1,50,9,52,52,0,0
477,37,0,77,-6,26,12,40,51,10,0
478,57,0,91,0,56,0,34,34,0,0
479,37,0,79,0,36,11,43,43,0,0
480,46,3,81,0,46,5,35,34,0,0
481,45,0,88,-3,44,0,43,44,2,0
482,38,0,109,0,36,-24,72,73,2,0
483,39,0,79,2,38,0,41,41,0,0
484,46,-3,107,0,46,0,61,60,0,0
485,53,-2,88,0,54,3,34,33,0,0
486,41,3,86,0,38,-19,45,48,2,0
487,46,0,78,0,44,-18,32,34,2,0
488,42,0,79,6,42,0,37,38,2,0
489,43,0,86,-5,42,-13,42,44,2,0
490,40,-5,81,2,38,0,41,42,2,0
491,37,0,75,-1,26,0,38,49,10,0
492,37,-4,77,0,-2,0,40,79,40,0
493,49,1,88,0,50,29,39,39,0,0
494,43,-5,109,0,42,0,66,67,2,0
495,37,-1,77,2,38,8,39,38,0,0
496,39,1,84,0,38,0,45,46,0,0
497,47,3,90,0,46,0,42,43,0,0
498,37,0,75,0,28,-10,38,46,8,0
499,58,-5,82,0,56,0,24,25,0,0
500,37,0,77,0,8,-3,40,69,30,0
501,53,0,84,0,54,26,31,30,0,0
502,53,1,79,0,54,14,26,24,0,0
503,37,1,97,0,30,-13,60,66,6,0
504,36,-5,76,0,36,0,40,40,0,0
505,37,2,76,-2,20,0,39,55,16,0
506,41,0,84,1,38,-5,43,45,2,0
507,37,0,106,0,36,-20,68,69,2,0
508,37,0,76,-5,24,0,40,53,14,0
509,42,-3,108,0,42,0,66,66,0,0
510,57,5,86,0,56,0,29,29,0,0
511,37,0,80,0,8,29,43,72,30,0
512,50,-5,77,0,50,0,27,28,2,0
513,58,0,85,1,56,0,28,28,0,0
514,37,0,107,0,30,25,69,76,6,0
515,49,0,77,0,50,14,29,28,0,0
516,51,0,82,0,52,29,31,30,0,0
517,37,0,101,6,28,-19,64,73,8,0
518,37,0,90,0,28,-20,53,62,8,0
519,39,-3,77,-3,38,0,38,39,0,0
520,37,0,104,0,26,-17,67,78,12,0
521,55,0,86,0,54,-16,30,32,2,0
522,48,4,94,0,46,0,46,48,2,0
523,37,0,77,0,24,16,40,54,14,0
524,56,0,79,0,54,-13,23,24,2,0
525,37,0,78,0,8,-16,42,70,28,0
526,42,5,86,0,42,0,43,44,2,0
527,37,0,82,0,34,-14,45,48,2,0
528,43,0,86,3,42,-6,43,45,2,0
529,52,0,83,0,52,-10,30,31,0,0
530,45,1,87,0,44,0,42,43,2,0
531,43,0,75,0,42,0,32,34,2,0
532,37,-2,77,0,36,0,40,41,0,0
533,45,0,86,0,44,0,42,42,0,0
534,37,0,76,2565,20,0,40,55,16,0
535,39,0,79,7,38,0,41,41,0,0
536,43,0,95,0,44,22,52,51,0,0
537,54,0,81,-3,54,-4,27,27,0,0
538,37,0,82,0,36,7,45,46,0,0
539,49,3,78,0,50,7,29,29,0,0
540,37,0,105,-4,24,0,68,82,14,0
541,47,0,86,1,46,0,40,40,0,0
542,53,0,86,-1,52,-24,33,34,2,0
543,37,-1,106,-2,36,-4,69,69,0,0
544,37,-5,97,0,34,0,60,64,4,0
545,56,-4,96,0,56,4,40,39,0,0
546,37,0,100,0,30,-30,64,69,6,0
547,46,-3,79,0,46,0,34,33,0,0
548,42,0,78,-2,42,0,37,37,0,0
549,53,0,80,0,54,6,27,26,0,0
550,37,0,76,0,30,-9,40,45,6,0
551,37,0,76,0,30,-24,40,45,6,0
552,45,0,83,7,44,-1,38,39,2,0
553,37,0,76,0,36,0,39,40,0,0
554,47,0,88,5,46,0,42,42,0,0
555,47,1,81,0,46,0,34,34,0,0
556,44,0,81,-2,44,3,37,37,0,0
557,51,-3,84,0,52,0,33,32,0,0
558,41,0,100,0,38,-2,59,61,2,0
559,49,0,81,0,50,6,33,32,0,0
560,41,0,81,0,38,-14,40,42,2,0
561,48,2,83,-1,46,0,34,36,2,0
562,37,0,79,5,30,-17,42,48,6,0
563,53,3,84,0,54,25,31,30,0,0
564,44,0,87,0,42,-26,43,46,2,0
565,41,-1,79,6,38,-10,39,41,2,0
566,43,0,81,-1,44,27,37,37,0,0
567,40,0,87,1,38,0,47,48,2,0
568,56,4,85,0,54,-9,29,31,2,0
569,45,1,84,0,44,-6,39,41,2,0
570,41,2,80,0,38,0,39,41,2,0
571,37,-4,97,0,36,0,61,61,0,0
572,41,0,82,0,42,31,41,41,0,0
573,44,1,85,0,44,14,41,41,0,0
574,37,0,95,0,18,-5,57,77,20,0
575,37,0,106,0,24,9,69,82,14,0
576,41,0,77,0,38,-1,36,38,2,0
577,44,2,102,0,42,-18,59,61,2,0
578,37,0,78,0,0,-3,42,78,36,0
579,43,0,81,0,44,17,37,37,0,0
580,37,0,77,0,-20,2,41,98,58,0
581,49,0,106,-1,50,11,57,57,0,0
582,58,0,80,-6,56,0,22,23,0,0
583,37,0,105,0,24,8,68,82,14,0
584,37,0,83,0,30,-6,46,52,6,0
585,42,0,82,5,42,0,39,41,2,0
586,42,-5,77,0,42,0,35,36,0,0
587,37,0,77,0,36,-25,39,41,2,0
588,56,0,86,0,56,19,30,29,0,0
589,45,4,90,0,44,-4,44,46,2,0
590,37,0,80,0,18,6,43,62,18,0
591,45,0,93,0,46,7,48,47,0,0
592,43,0,81,0,44,26,37,37,0,0
593,37,0,76,-2,36,-3,39,40,0,0
594,37,0,95,-3,16,15,58,80,22,0
595,37,0,79,0,6,-1,43,74,32,0
596,48,-1,110,0,46,-1,62,64,2,0
597,50,0,78,-1,50,0,28,29,0,0
598,45,0,84,0,44,0,40,41,0,0
599,47,-3,84,0,46,0,37,37,0,0
600,37,0,76,0,36,2,39,39,0,0
601,38,2,77,0,36,-18,39,41,2,0
602,37,0,105,0,16,-12,68,89,22,0
603,42,4,76,0,42,0,33,34,2,0
604,37,0,78,0,2,3,41,75,34,0
605,37,0,90,0,24,12,52,66,14,0
606,55,0,81,6,54,0,27,27,0,0
607,39,5,106,0,38,0,68,67,0,0
608,37,0,77,5,36,8,40,41,0,0
609,42,-1,75,0,42,0,33,34,0,0
610,38,0,86,-1,38,0,48,47,0,0
611,46,0,76,0,46,1,30,29,0,0
612,37,0,77,0,24,3,40,54,14,0
613,37,0,78,0,12,-6,42,65,24,0
614,37,0,75,0,30,0,38,44,6,0
